month,day,year,time,actual,forecast,previous,datetime
Dec,14,2022, 18:30,10.231,-3.595,-5.187,2022-12-14 18:30:00
Dec,7,2022, 18:30,-5.187,-3.305,-12.58,2022-12-07 18:30:00
Nov,30,2022, 18:30,-12.58,-2.758,-3.691,2022-11-30 18:30:00
Nov,23,2022, 18:30,-3.691,-1.055,-5.4,2022-11-23 18:30:00
Nov,16,2022, 18:30,-5.4,-0.44,3.925,2022-11-16 18:30:00
Nov,9,2022, 18:30,3.925,1.36,-3.115,2022-11-09 18:30:00
Nov,2,2022, 17:30,-3.115,0.367,2.588,2022-11-02 17:30:00
Oct,26,2022, 17:30,2.588,1.029,-1.725,2022-10-26 17:30:00
Oct,19,2022, 17:30,-1.725,1.38,9.88,2022-10-19 17:30:00
Oct,13,2022, 18:00,9.88,1.75,-1.356,2022-10-13 18:00:00
Oct,5,2022, 17:30,-1.356,2.052,-0.215,2022-10-05 17:30:00
Sep,28,2022, 17:30,-0.215,0.443,1.142,2022-09-28 17:30:00
Sep,21,2022, 17:30,1.142,2.161,2.442,2022-09-21 17:30:00
Sep,14,2022, 17:30,2.442,0.833,8.844,2022-09-14 17:30:00
Sep,8,2022, 18:00,8.844,-0.25,-3.326,2022-09-08 18:00:00
Aug,31,2022, 17:30,-3.326,-1.483,-3.282,2022-08-31 17:30:00
Aug,24,2022, 17:30,-3.282,-0.933,-7.056,2022-08-24 17:30:00
Aug,17,2022, 17:30,-7.056,-0.275,5.458,2022-08-17 17:30:00
Aug,10,2022, 17:30,5.458,0.073,4.467,2022-08-10 17:30:00
Aug,3,2022, 17:30,4.467,-0.629,-4.523,2022-08-03 17:30:00
Jul,27,2022, 17:30,-4.523,-1.037,-0.446,2022-07-27 17:30:00
Jul,20,2022, 17:30,-0.446,1.357,3.254,2022-07-20 17:30:00
Jul,13,2022, 17:30,3.254,-0.154,8.235,2022-07-13 17:30:00
Jul,7,2022, 18:00,8.235,-1.043,-2.762,2022-07-07 18:00:00
Jun,29,2022, 17:30,-2.762,-0.569,1.956,2022-06-29 17:30:00
Jun,15,2022, 17:30,1.956,-1.314,2.025,2022-06-15 17:30:00
Jun,8,2022, 17:30,2.025,-1.917,-5.068,2022-06-08 17:30:00
Jun,2,2022, 18:00,-5.068,-1.35,-1.019,2022-06-02 18:00:00
May,25,2022, 17:30,-1.019,-0.737,-3.394,2022-05-25 17:30:00
May,18,2022, 17:30,-3.394,1.383,8.487,2022-05-18 17:30:00
May,11,2022, 17:30,8.487,-0.457,1.302,2022-05-11 17:30:00
May,4,2022, 17:30,1.302,-0.829,0.692,2022-05-04 17:30:00
Apr,27,2022, 17:30,0.692,2.0,-8.02,2022-04-27 17:30:00
Apr,20,2022, 17:30,-8.02,2.471,9.382,2022-04-20 17:30:00
Apr,13,2022, 17:30,9.382,0.863,2.421,2022-04-13 17:30:00
Apr,6,2022, 17:30,2.421,-2.056,-3.449,2022-04-06 17:30:00
Mar,30,2022, 17:30,-3.449,-1.022,-2.508,2022-03-30 17:30:00
Mar,23,2022, 17:30,-2.508,0.114,4.345,2022-03-23 17:30:00
Mar,16,2022, 17:30,4.345,-1.375,-1.863,2022-03-16 17:30:00
Mar,9,2022, 18:30,-1.863,-0.657,-2.597,2022-03-09 18:30:00
Mar,2,2022, 18:30,-2.597,2.748,4.515,2022-03-02 18:30:00
Feb,24,2022, 19:00,4.515,0.442,1.121,2022-02-24 19:00:00
Feb,16,2022, 18:30,1.121,-1.572,-4.756,2022-02-16 18:30:00
Feb,9,2022, 18:30,-4.756,0.369,-1.046,2022-02-09 18:30:00
Feb,2,2022, 18:30,-1.046,1.525,2.377,2022-02-02 18:30:00
Jan,26,2022, 18:30,2.377,-0.728,0.515,2022-01-26 18:30:00
Jan,20,2022, 19:00,0.515,-0.938,-4.553,2022-01-20 19:00:00
Jan,12,2022, 18:30,-4.553,-1.904,-2.144,2022-01-12 18:30:00
Jan,5,2022, 18:30,-2.144,-3.283,-3.576,2022-01-05 18:30:00
Dec,29,2021, 18:30,-3.576,-3.233,-4.715,2021-12-29 18:30:00
Dec,22,2021, 18:30,-4.715,-2.75,-4.584,2021-12-22 18:30:00
Dec,15,2021, 18:30,-4.584,-2.082,-0.24,2021-12-15 18:30:00
Dec,8,2021, 18:30,-0.24,-1.705,-0.91,2021-12-08 18:30:00
Dec,1,2021, 18:30,-0.91,-1.237,1.017,2021-12-01 18:30:00
Nov,24,2021, 18:30,1.017,-0.481,-2.101,2021-11-24 18:30:00
Nov,17,2021, 18:30,-2.101,1.398,1.001,2021-11-17 18:30:00
Nov,10,2021, 18:30,1.001,2.125,3.291,2021-11-10 18:30:00
Nov,3,2021, 17:30,3.291,2.225,4.267,2021-11-03 17:30:00
Oct,27,2021, 17:30,4.267,1.914,-0.431,2021-10-27 17:30:00
Oct,20,2021, 17:30,-0.431,1.857,6.088,2021-10-20 17:30:00
Oct,14,2021, 18:00,6.088,0.702,2.346,2021-10-14 18:00:00
Oct,6,2021, 17:30,2.346,-0.418,4.578,2021-10-06 17:30:00
Sep,29,2021, 17:30,4.578,-1.652,-3.481,2021-09-29 17:30:00
Sep,22,2021, 17:30,-3.481,-2.44,-6.422,2021-09-22 17:30:00
Sep,15,2021, 17:30,-6.422,-3.544,-1.529,2021-09-15 17:30:00
Sep,9,2021, 18:00,-1.529,-4.612,-7.169,2021-09-09 18:00:00
Sep,1,2021, 17:30,-7.169,-3.088,-2.979,2021-09-01 17:30:00
Aug,25,2021, 17:30,-2.979,-2.683,-3.234,2021-08-25 17:30:00
Aug,18,2021, 17:30,-3.234,-1.055,-0.447,2021-08-18 17:30:00
Aug,11,2021, 17:30,-0.447,-1.271,3.626,2021-08-11 17:30:00
Aug,4,2021, 17:30,3.626,-3.102,-4.089,2021-08-04 17:30:00
Jul,28,2021, 17:30,-4.089,-2.928,2.108,2021-07-28 17:30:00
Jul,21,2021, 17:30,2.108,-4.466,-7.897,2021-07-21 17:30:00
Jul,14,2021, 17:30,-7.897,-4.359,-6.866,2021-07-14 17:30:00
Jul,8,2021, 18:00,-6.866,-4.033,-6.718,2021-07-08 18:00:00
Jun,30,2021, 17:30,-6.718,-4.686,-7.614,2021-06-30 17:30:00
Jun,23,2021, 17:30,-7.614,-3.942,-7.355,2021-06-23 17:30:00
Jun,16,2021, 17:30,-7.355,-3.29,-5.241,2021-06-16 17:30:00
Jun,9,2021, 17:30,-5.241,-2.036,-5.08,2021-06-09 17:30:00
Jun,3,2021, 18:00,-5.08,-2.443,-1.662,2021-06-03 18:00:00
May,26,2021, 17:30,-1.662,-1.05,-0.426,2021-05-26 17:30:00
May,19,2021, 17:30,1.321,1.623,-0.427,2021-05-19 17:30:00
May,12,2021, 17:30,-0.427,-2.817,-7.99,2021-05-12 17:30:00
May,5,2021, 17:30,-7.99,-2.346,0.09,2021-05-05 17:30:00
Apr,28,2021, 17:30,0.09,0.659,0.594,2021-04-28 17:30:00
Apr,21,2021, 17:30,0.594,-2.975,-5.889,2021-04-21 17:30:00
Apr,14,2021, 17:30,-5.889,-2.889,-3.522,2021-04-14 17:30:00
Apr,7,2021, 17:30,-3.522,-1.436,-0.876,2021-04-07 17:30:00
Mar,31,2021, 17:30,-0.876,0.107,1.912,2021-03-31 17:30:00
Mar,24,2021, 17:30,1.912,-0.272,2.396,2021-03-24 17:30:00
Mar,17,2021, 17:30,2.396,2.964,13.798,2021-03-17 17:30:00
Mar,10,2021, 18:30,13.798,0.816,21.563,2021-03-10 18:30:00
Mar,3,2021, 18:30,21.563,-0.928,1.285,2021-03-03 18:30:00
Feb,24,2021, 18:30,1.285,-5.19,-7.258,2021-02-24 18:30:00
Feb,18,2021, 19:00,-7.258,-2.429,-6.644,2021-02-18 19:00:00
Feb,10,2021, 18:30,-6.644,0.985,-0.994,2021-02-10 18:30:00
Feb,3,2021, 18:30,-0.994,0.446,-9.91,2021-02-03 18:30:00
Jan,27,2021, 18:30,-9.91,0.43,4.351,2021-01-27 18:30:00
Jan,22,2021, 19:00,4.351,-1.167,-3.247,2021-01-22 19:00:00
Jan,13,2021, 18:30,-3.247,-2.266,-8.01,2021-01-13 18:30:00
Jan,6,2021, 18:30,-8.01,-2.133,-6.065,2021-01-06 18:30:00
Dec,30,2020, 18:30,-6.065,-2.583,-0.562,2020-12-30 18:30:00
Dec,23,2020, 18:30,-0.562,-3.186,-3.135,2020-12-23 18:30:00
Dec,16,2020, 18:30,-3.135,-1.937,15.189,2020-12-16 18:30:00
Dec,9,2020, 18:30,15.189,-1.424,-0.679,2020-12-09 18:30:00
Dec,2,2020, 18:30,-0.679,-2.358,-0.754,2020-12-02 18:30:00
Nov,25,2020, 18:30,-0.754,0.127,0.768,2020-11-25 18:30:00
