Year,01,02,03,04,05,06,07,08,09,10,11,12
1943,2.327220070980212,2.327220070980212,2.4241875739377208,2.4888325759093934,2.52115507689523,2.52115507689523,2.4888325759093934,2.4565100749235578,2.4888325759093934,2.4888325759093934,2.4888325759093934,2.4888325759093934
1944,2.4888325759093934,2.4888325759093934,2.4888325759093934,2.52115507689523,2.52115507689523,2.553477577881067,2.5858000788669027,2.5858000788669027,2.5858000788669027,2.5858000788669027,2.5858000788669027,2.618122579852739
1945,2.618122579852739,2.618122579852739,2.618122579852739,2.618122579852739,2.6504450808385744,2.715090082810248,2.715090082810248,2.715090082810248,2.715090082810248,2.715090082810248,2.715090082810248,2.7474125837960837
1946,2.7474125837960837,2.715090082810248,2.7797350847819207,2.812057585767756,2.844380086753593,2.909025088725265,3.2645725995694646,3.3938626035128094,3.4585076054844817,3.587797609427827,3.749410114357009,3.814055116328681
1947,3.814055116328681,3.814055116328681,3.943345120272026,3.943345120272026,3.943345120272026,3.9756676212578625,4.040312623229535,4.137280126187044,4.298892631116225,4.298892631116225,4.331215132102062,4.42818263505957
1948,4.525150138017079,4.460505136045407,4.42818263505957,4.557472639002916,4.589795139988751,4.654440141960425,4.751407644917933,4.783730145903769,4.783730145903769,4.751407644917933,4.6867626429462605,4.654440141960425
1949,4.622117640974588,4.557472639002916,4.557472639002916,4.589795139988751,4.557472639002916,4.589795139988751,4.525150138017079,4.557472639002916,4.589795139988751,4.525150138017079,4.557472639002916,4.492827637031244
1950,4.460505136045407,4.460505136045407,4.492827637031244,4.492827637031244,4.525150138017079,4.557472639002916,4.654440141960425,4.719085143932097,4.751407644917933,4.816052646889606,4.8483751478754415,4.945342650832951
1951,5.074632654776296,5.171600157733805,5.203922658719642,5.203922658719642,5.2362451597054775,5.2362451597054775,5.2362451597054775,5.2362451597054775,5.300890161677151,5.333212662662986,5.3978576646346585,5.430180165620495
1952,5.430180165620495,5.365535163648823,5.365535163648823,5.3978576646346585,5.3978576646346585,5.430180165620495,5.494825167592167,5.494825167592167,5.494825167592167,5.494825167592167,5.494825167592167,5.494825167592167
1953,5.4625026666063325,5.430180165620495,5.4625026666063325,5.4625026666063325,5.494825167592167,5.527147668578005,5.527147668578005,5.5594701695638395,5.5594701695638395,5.591792670549676,5.5594701695638395,5.5594701695638395
1954,5.5594701695638395,5.5594701695638395,5.5594701695638395,5.527147668578005,5.5594701695638395,5.5594701695638395,5.5594701695638395,5.5594701695638395,5.527147668578005,5.527147668578005,5.527147668578005,5.494825167592167
1955,5.494825167592167,5.494825167592167,5.494825167592167,5.494825167592167,5.494825167592167,5.494825167592167,5.527147668578005,5.527147668578005,5.5594701695638395,5.5594701695638395,5.5594701695638395,5.527147668578005
1956,5.527147668578005,5.527147668578005,5.527147668578005,5.5594701695638395,5.591792670549676,5.656437672521348,5.721082674493021,5.688760173507186,5.721082674493021,5.753405175478858,5.753405175478858,5.7857276764646945
1957,5.7857276764646945,5.81805017745053,5.850372678436367,5.882695179422202,5.915017680408039,5.9473401813938755,6.011985183365549,6.011985183365549,6.011985183365549,6.011985183365549,6.044307684351384,6.044307684351384
1958,6.108952686323057,6.108952686323057,6.17359768829473,6.205920189280565,6.205920189280565,6.205920189280565,6.238242690266403,6.205920189280565,6.205920189280565,6.205920189280565,6.238242690266403,6.205920189280565
1959,6.238242690266403,6.205920189280565,6.205920189280565,6.238242690266403,6.238242690266403,6.270565191252239,6.302887692238074,6.302887692238074,6.3352101932239115,6.367532694209747,6.367532694209747,6.367532694209747
1960,6.3352101932239115,6.367532694209747,6.367532694209747,6.399855195195584,6.399855195195584,6.432177696181421,6.432177696181421,6.432177696181421,6.432177696181421,6.4968226981530925,6.4968226981530925,6.4968226981530925
1961,6.4968226981530925,6.4968226981530925,6.4968226981530925,6.4968226981530925,6.4968226981530925,6.4968226981530925,6.561467700124765,6.529145199138927,6.561467700124765,6.561467700124765,6.561467700124765,6.561467700124765
1962,6.561467700124765,6.593790201110601,6.593790201110601,6.626112702096437,6.626112702096437,6.626112702096437,6.658435203082274,6.658435203082274,6.690757704068109,6.690757704068109,6.690757704068109,6.690757704068109
